Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z ,Gait Type
-0.193081,-0.561242,3.06272,-0.181328,-0.693851,3.13553,-0.232179,-0.391134,3.04427,-0.247368,-0.0948634,3.02409,-0.0361976,-0.573025,2.94237,0.00945326,-0.702491,2.99898,-0.0604857,-0.391025,2.95513,-0.0604857,-0.391025,2.95513,Normal
-0.108345,-0.0954054,3.04067,-0.184995,-0.560422,3.0298,-0.153514,-0.692233,3.0922,-0.24271,-0.387846,3.0367,-0.247996,-0.0973757,2.98958,-0.0410175,-0.57294,2.8916,0.00905687,-0.702922,2.92834,0.00905687,-0.702922,2.92834,Normal
-0.0578803,-0.388875,2.89576,-0.107826,-0.0980005,3.00742,-0.179193,-0.555791,3.01543,-0.131883,-0.683401,3.07253,-0.24484,-0.387215,3.01541,-0.250877,-0.0989808,2.95872,-0.0471004,-0.574581,2.81046,-0.0471004,-0.574581,2.81046,Normal
-0.0264898,-0.712946,2.83844,-0.0599949,-0.390614,2.86432,-0.110134,-0.100318,2.98147,-0.190188,-0.554686,3.01474,-0.15509,-0.68167,3.08953,-0.246233,-0.388162,2.99843,-0.245203,-0.10528,2.92548,-0.245203,-0.10528,2.92548,Normal
-0.0580609,-0.579546,2.75794,-0.0300951,-0.715524,2.77348,-0.0649893,-0.394554,2.81741,-0.105069,-0.105564,2.94691,-0.165994,-0.568738,3.04246,-0.108597,-0.671135,3.14568,-0.226344,-0.426906,2.9809,-0.226344,-0.426906,2.9809,Normal
-0.245464,-0.11277,2.89951,-0.0320598,-0.582539,2.71849,0.0191195,-0.712518,2.75422,-0.074139,-0.402296,2.7858,-0.107488,-0.1147,2.91945,-0.194945,-0.588952,3.023,-0.14434,-0.703529,3.11281,-0.14434,-0.703529,3.11281,Normal
-0.225303,-0.428652,2.97443,-0.250919,-0.12266,2.87091,-0.0348372,-0.76345,2.52554,-0.0510549,-0.714522,2.65634,-0.0718267,-0.41686,2.76522,-0.111803,-0.127496,2.88747,-0.197488,-0.590588,2.9998,-0.197488,-0.590588,2.9998,Normal
-0.162987,-0.705452,3.09993,-0.225457,-0.432343,2.95028,-0.24983,-0.136424,2.83876,-0.0399198,-0.796268,2.44793,-0.0578722,-0.748134,2.57803,-0.0704207,-0.425806,2.73021,-0.110997,-0.136928,2.85056,-0.110997,-0.136928,2.85056,Normal
-0.199517,-0.586361,2.97992,-0.174298,-0.701708,3.08346,-0.223842,-0.433597,2.92169,-0.242779,-0.150089,2.79755,-0.0603091,-0.860054,2.39084,-0.0598977,-0.812901,2.50154,-0.0658377,-0.431918,2.68505,-0.0658377,-0.431918,2.68505,Normal
-0.10359,-0.146871,2.81601,-0.229409,-0.58369,2.95979,-0.239465,-0.69953,3.06721,-0.221404,-0.439706,2.88839,-0.23938,-0.160742,2.76585,-0.0691679,-0.860745,2.38298,-0.0666002,-0.811753,2.49216,-0.0666002,-0.811753,2.49216,Normal
-0.0670543,-0.44124,2.64981,-0.0981261,-0.156789,2.78179,-0.229179,-0.557438,2.92329,-0.247196,-0.645872,3.05877,-0.219204,-0.428235,2.83439,-0.232225,-0.171541,2.71809,-0.074945,-0.861779,2.37696,-0.074945,-0.861779,2.37696,Normal
