Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.172541,-0.610232,4.06428,-0.167894,-0.314128,3.95198,-0.147833,-0.0293681,3.88002,0.0510244,-0.500143,3.76409,0.096823,-0.62362,3.78567,-0.0181197,-0.326256,3.84098,-0.00571009,-0.019352,3.89472,-0.00571009,-0.019352,3.89472,
-0.171326,-0.483824,3.99813,-0.191512,-0.582919,4.11535,-0.15268,-0.330807,3.93312,-0.138503,-0.0392467,3.85325,0.0115376,-0.513288,3.75664,0.0105579,-0.645811,3.79308,0.0315269,-0.325051,3.79363,0.0315269,-0.325051,3.79363,
0.00465161,-0.0219146,3.86526,-0.146246,-0.486895,3.95095,-0.134061,-0.608745,4.03305,-0.164602,-0.321825,3.90409,-0.132494,-0.0452055,3.82358,0.0576532,-0.527254,3.77974,0.0985596,-0.64028,3.86828,0.0985596,-0.64028,3.86828,
0.0103046,-0.353723,3.76513,0.013567,-0.0269051,3.82708,-0.142723,-0.485487,3.93362,-0.124289,-0.605068,4.01886,-0.158649,-0.317984,3.89105,-0.129116,-0.0450601,3.80053,0.016231,-0.51808,3.71874,0.016231,-0.51808,3.71874,
0.0177934,-0.650336,3.76205,0.0143572,-0.330945,3.73675,0.0175001,-0.0271245,3.80459,-0.117893,-0.493281,3.90005,-0.104074,-0.606951,3.99825,-0.122873,-0.326421,3.85536,-0.125301,-0.0444128,3.78333,-0.125301,-0.0444128,3.78333,
0.0839282,-0.50853,3.76122,0.146443,-0.609131,3.85252,0.00682528,-0.350047,3.73582,0.0211436,-0.027188,3.78554,-0.12337,-0.487344,3.87799,-0.12169,-0.604786,3.97109,-0.11773,-0.328464,3.82019,-0.11773,-0.328464,3.82019,
-0.118913,-0.041747,3.76035,0.0781305,-0.515555,3.72861,0.136475,-0.628391,3.79889,0.00832974,-0.34488,3.73052,0.0281646,-0.0245429,3.75723,-0.121493,-0.489923,3.84233,-0.128488,-0.610188,3.9295,-0.128488,-0.610188,3.9295,
-0.123376,-0.322038,3.80023,-0.112339,-0.0354651,3.73888,0.0222127,-0.51278,3.70907,0.0189434,-0.642894,3.76729,0.020876,-0.327837,3.71586,0.0308283,-0.0234426,3.74234,-0.12057,-0.498134,3.7935,-0.12057,-0.498134,3.7935,
-0.128794,-0.623713,3.86749,-0.117612,-0.329113,3.75248,-0.108761,-0.0319685,3.72353,0.030534,-0.512671,3.71045,0.0310294,-0.642401,3.77085,0.0257268,-0.327434,3.71929,0.0322189,-0.023911,3.72532,0.0322189,-0.023911,3.72532,
-0.124751,-0.509633,3.74838,-0.134724,-0.634661,3.82413,-0.116204,-0.331342,3.73245,-0.102288,-0.0320352,3.71108,0.0363717,-0.511071,3.70923,0.0406381,-0.640575,3.77038,0.0258274,-0.325873,3.71922,0.0258274,-0.325873,3.71922,
0.0381843,-0.0246224,3.70662,-0.142439,-0.501521,3.73411,-0.155964,-0.627538,3.80581,-0.109185,-0.337031,3.69,-0.0967125,-0.0326485,3.69562,0.0413165,-0.508054,3.71384,0.0473783,-0.636354,3.77956,0.0473783,-0.636354,3.77956,
0.0340302,-0.327529,3.70462,0.0416395,-0.025301,3.6934,-0.128269,-0.518254,3.67167,-0.155652,-0.646152,3.72801,-0.120657,-0.339115,3.65289,-0.0922398,-0.0339493,3.68456,0.0203743,-0.513281,3.73233,0.0203743,-0.513281,3.73233,
-0.0184497,-0.628872,3.81627,0.0563053,-0.338203,3.7143,0.0466682,-0.0280284,3.6742,-0.128954,-0.519864,3.63871,-0.148153,-0.650724,3.68524,-0.118123,-0.340407,3.62026,-0.0909941,-0.0346141,3.67526,-0.0909941,-0.0346141,3.67526,
