Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.019008,-0.598949,3.7686,0.0161048,-0.283869,3.76286,-0.0417488,-0.0164457,3.86646,-0.132796,-0.472253,3.88164,-0.134339,-0.589595,3.97256,-0.180209,-0.300476,3.86227,-0.184745,-0.0238073,3.84366,-0.184745,-0.0238073,3.84366,
0.00634629,-0.473616,3.71815,0.00727776,-0.605032,3.75733,-0.00880583,-0.289122,3.74172,-0.0405043,-0.0171857,3.85131,-0.130833,-0.470976,3.87933,-0.122651,-0.589363,3.9674,-0.186583,-0.30226,3.86032,-0.186583,-0.30226,3.86032,
-0.180849,-0.0298971,3.81926,-0.0314939,-0.459056,3.66283,-0.0312751,-0.589962,3.68395,0.0378875,-0.279947,3.69905,-0.0371088,-0.0204487,3.82648,-0.155521,-0.476788,3.8732,-0.144018,-0.599696,3.95004,-0.144018,-0.599696,3.95004,
-0.177796,-0.306898,3.84463,-0.180655,-0.0322464,3.8058,-0.00227956,-0.489995,3.64068,0.0605018,-0.603525,3.65467,-0.0184918,-0.297255,3.69552,-0.0370066,-0.0232877,3.8133,-0.159854,-0.477738,3.87524,-0.159854,-0.477738,3.87524,
-0.148826,-0.597772,3.9593,-0.176675,-0.309341,3.8422,-0.17872,-0.0423547,3.77701,0.0175971,-0.504639,3.62351,0.0904497,-0.608961,3.62548,-0.02198,-0.315663,3.6845,-0.0345235,-0.0332731,3.77397,-0.0345235,-0.0332731,3.77397,
-0.141414,-0.490419,3.83558,-0.134822,-0.605148,3.93122,-0.175739,-0.316836,3.81729,-0.178418,-0.0447246,3.76209,0.0137229,-0.509839,3.61337,0.0857434,-0.617245,3.62441,-0.0159111,-0.317957,3.66762,-0.0159111,-0.317957,3.66762,
-0.035755,-0.0356623,3.76227,-0.156198,-0.476906,3.84789,-0.154803,-0.590222,3.94607,-0.17734,-0.311241,3.80913,-0.182457,-0.0482864,3.72858,-0.0106354,-0.536621,3.54688,0.00428007,-0.637229,3.58781,0.00428007,-0.637229,3.58781,
-0.0126209,-0.3223,3.63618,-0.0401149,-0.0408065,3.73702,-0.15673,-0.474526,3.84577,-0.153763,-0.585479,3.94754,-0.177229,-0.318441,3.79067,-0.185543,-0.0546761,3.70962,-0.00555108,-0.533963,3.50612,-0.00555108,-0.533963,3.50612,
-0.00667677,-0.634853,3.5029,-0.0162408,-0.335212,3.61834,-0.0440605,-0.0509595,3.71053,-0.158475,-0.466618,3.83079,-0.154673,-0.573306,3.93859,-0.176071,-0.322277,3.75873,-0.189466,-0.0596426,3.67319,-0.189466,-0.0596426,3.67319,
-0.011307,-0.551561,3.48106,-0.00687883,-0.647426,3.48942,-0.0183463,-0.340021,3.57867,-0.046061,-0.0578613,3.68543,-0.15035,-0.475252,3.80016,-0.142476,-0.585286,3.90292,-0.174587,-0.32371,3.73908,-0.174587,-0.32371,3.73908,
-0.186772,-0.0653884,3.64274,-0.0141973,-0.522311,3.459,-0.0069505,-0.651326,3.4644,-0.0213272,-0.354511,3.56288,-0.0421764,-0.0658368,3.64479,-0.157582,-0.472098,3.78396,-0.158416,-0.571836,3.90064,-0.158416,-0.571836,3.90064,
-0.171925,-0.326627,3.71268,-0.185561,-0.0717994,3.60807,-0.0250845,-0.54835,3.46676,0.0105291,-0.674693,3.48375,-0.0169138,-0.361036,3.53578,-0.0418354,-0.0717747,3.61861,-0.141015,-0.484908,3.72859,-0.141015,-0.484908,3.72859,
-0.108911,-0.603749,3.80603,-0.173435,-0.323403,3.68413,-0.183815,-0.0712483,3.57272,-0.00815372,-0.577799,3.42102,-0.0124904,-0.676041,3.43799,-0.00929935,-0.365138,3.51394,-0.0383723,-0.0724979,3.57248,-0.0383723,-0.0724979,3.57248,
-0.155403,-0.477807,3.71221,-0.167743,-0.588308,3.81427,-0.166022,-0.337813,3.63228,-0.182319,-0.0722337,3.54375,-0.0120648,-0.545732,3.41304,-0.010405,-0.677404,3.43025,-0.00485504,-0.36285,3.48556,-0.00485504,-0.36285,3.48556,
-0.0360254,-0.0697615,3.54912,-0.14178,-0.501303,3.64715,-0.158458,-0.604144,3.75926,-0.158426,-0.345505,3.58817,-0.176329,-0.074394,3.50944,-0.0113491,-0.550728,3.41145,-0.01134,-0.683204,3.43631,-0.01134,-0.683204,3.43631,
-0.00483449,-0.366637,3.47279,-0.0316238,-0.0711405,3.51358,-0.113768,-0.521115,3.56975,-0.117891,-0.633836,3.67001,-0.154386,-0.358689,3.52864,-0.171101,-0.0740667,3.48327,0.00229786,-0.552276,3.39329,0.00229786,-0.552276,3.39329,
-0.0110625,-0.684216,3.4325,-0.00313129,-0.366743,3.44765,-0.0256727,-0.069923,3.48717,-0.159354,-0.523458,3.54828,-0.13685,-0.647428,3.61941,-0.154174,-0.368766,3.48117,-0.165906,-0.0793471,3.4488,-0.165906,-0.0793471,3.4488,
-0.0111976,-0.557431,3.38565,-0.0139105,-0.688943,3.43684,-0.0164632,-0.371757,3.43376,-0.0201339,-0.074072,3.45034,-0.161933,-0.534762,3.49421,-0.154999,-0.665838,3.54376,-0.152555,-0.379988,3.41862,-0.152555,-0.379988,3.41862,
-0.161429,-0.0817009,3.4325,-0.00834464,-0.556998,3.38709,-0.0109674,-0.689524,3.42883,-0.0201493,-0.373194,3.41471,-0.0157864,-0.0747321,3.42909,-0.182011,-0.541907,3.4419,-0.25723,-0.637292,3.52649,-0.25723,-0.637292,3.52649,
-0.160887,-0.378629,3.38293,-0.156589,-0.0791746,3.39915,-0.00800266,-0.560096,3.38887,-0.00993944,-0.692961,3.42167,-0.0182112,-0.378191,3.393,-0.0124103,-0.0795007,3.40107,-0.14566,-0.548527,3.38032,-0.14566,-0.548527,3.38032,
-0.166894,-0.679621,3.41914,-0.158392,-0.380046,3.3271,-0.153099,-0.0788275,3.37189,-0.00377929,-0.556482,3.37023,-0.00392235,-0.689342,3.40104,-0.0123024,-0.373828,3.37829,-0.00851024,-0.0762175,3.37096,-0.00851024,-0.0762175,3.37096,
-0.154818,-0.549951,3.31656,-0.171398,-0.681151,3.36383,-0.157733,-0.377968,3.28321,-0.14983,-0.0771648,3.34985,-0.0314462,-0.553117,3.33683,-0.0660765,-0.681058,3.37783,-0.00399889,-0.370764,3.36285,-0.00399889,-0.370764,3.36285,
-0.00564837,-0.0741083,3.34516,-0.127969,-0.553999,3.26499,-0.162706,-0.682546,3.29459,-0.16308,-0.374101,3.23152,-0.149074,-0.0764558,3.32484,-0.161464,-0.517932,3.31068,-0.286339,-0.527136,3.31223,-0.286339,-0.527136,3.31223,
-0.00913692,-0.37209,3.34459,-0.00471351,-0.0746878,3.32689,-0.134804,-0.552983,3.23038,-0.177213,-0.678976,3.25431,-0.159021,-0.37044,3.19385,-0.149035,-0.0742606,3.29918,-0.0175069,-0.55077,3.32507,-0.0175069,-0.55077,3.32507,
-0.0139169,-0.680106,3.3876,-0.00908448,-0.37259,3.32113,-0.00384313,-0.0750269,3.30039,-0.0908699,-0.57725,3.21132,-0.151119,-0.679802,3.1866,-0.158914,-0.365879,3.15079,-0.151592,-0.0753609,3.27998,-0.151592,-0.0753609,3.27998,
-0.0155551,-0.547514,3.32885,-0.0115266,-0.672938,3.40426,-0.00889439,-0.376327,3.30379,-0.00721686,-0.0806211,3.27174,-0.151523,-0.552167,3.11984,-0.149482,-0.682999,3.17742,-0.157203,-0.370428,3.13367,-0.157203,-0.370428,3.13367,
-0.153736,-0.0778743,3.25884,-0.0132363,-0.550104,3.31848,-0.0111191,-0.675,3.39558,-0.00943352,-0.376925,3.29897,-0.00830175,-0.0828244,3.25824,-0.131929,-0.553851,3.08914,-0.125838,-0.684833,3.14554,-0.125838,-0.684833,3.14554,
-0.156516,-0.373183,3.10421,-0.153526,-0.0817286,3.23506,-0.0103827,-0.536067,3.30542,-0.0163611,-0.659227,3.38637,-0.0162313,-0.375771,3.25629,-0.0083334,-0.0789311,3.2235,-0.154785,-0.559919,3.00652,-0.154785,-0.559919,3.00652,
-0.180747,-0.689525,3.01863,-0.152674,-0.378306,3.08794,-0.154655,-0.084365,3.21302,-0.00924067,-0.536268,3.30015,-0.0158519,-0.659238,3.38151,-0.0191803,-0.376875,3.24935,-0.00868209,-0.0824961,3.20544,-0.00868209,-0.0824961,3.20544,
-0.143876,-0.564998,2.95615,-0.148379,-0.698848,2.99138,-0.14872,-0.388233,3.07054,-0.15902,-0.0901121,3.18182,-0.00573891,-0.538332,3.28479,-0.0138125,-0.660528,3.36796,-0.0231679,-0.378498,3.23522,-0.0231679,-0.378498,3.23522,
-0.0120916,-0.0872495,3.17964,-0.131836,-0.582031,2.93164,-0.125689,-0.688708,2.92835,-0.143377,-0.393401,3.05604,-0.159879,-0.0945499,3.16556,-0.00497892,-0.533986,3.27183,-0.0141418,-0.656317,3.35448,-0.0141418,-0.656317,3.35448,
-0.0313843,-0.391222,3.19366,-0.0131602,-0.092609,3.1632,-0.128039,-0.718062,2.78591,-0.128535,-0.670705,2.91396,-0.149953,-0.40067,3.01995,-0.156918,-0.102214,3.13453,-0.00410819,-0.535937,3.26579,-0.00410819,-0.535937,3.26579,
-0.00141043,-0.655491,3.35517,-0.0316242,-0.38554,3.20373,-0.00939469,-0.0996459,3.13231,-0.128103,-0.723006,2.77014,-0.128614,-0.675851,2.89824,-0.148568,-0.406289,2.99925,-0.158862,-0.106405,3.11005,-0.158862,-0.106405,3.11005,
-0.0153624,-0.545406,3.23964,-0.0183503,-0.66495,3.32929,-0.0309826,-0.392854,3.17918,-0.0116952,-0.10538,3.10988,-0.126551,-0.720066,2.75053,-0.128735,-0.672839,2.87858,-0.148011,-0.413349,2.97518,-0.148011,-0.413349,2.97518,
-0.159522,-0.112191,3.08281,-0.0204485,-0.542953,3.22993,-0.0266488,-0.658008,3.3275,0.000319413,-0.391696,3.16981,-0.0117531,-0.111081,3.08207,-0.123456,-0.775013,2.73514,-0.125187,-0.728926,2.86332,-0.125187,-0.728926,2.86332,
-0.150331,-0.421048,2.94996,-0.160944,-0.118176,3.0461,-0.04214,-0.589903,3.24647,-0.0703119,-0.700399,3.34646,-0.0123584,-0.442768,3.18357,-0.0119157,-0.115597,3.04944,-0.118159,-0.759235,2.72916,-0.118159,-0.759235,2.72916,
-0.123558,-0.712819,2.8572,-0.156335,-0.423674,2.92716,-0.1608,-0.121748,3.02486,-0.0532192,-0.605036,3.19145,-0.0885868,-0.724566,3.27103,-0.0115229,-0.440009,3.16618,-0.0120861,-0.117619,3.02574,-0.0120861,-0.117619,3.02574,
-0.1214,-0.758906,2.72924,-0.12375,-0.712819,2.85756,-0.162804,-0.425467,2.89466,-0.163447,-0.122603,2.98227,-0.016129,-0.580591,3.16958,-0.012901,-0.683614,3.28461,-0.0190744,-0.428307,3.10937,-0.0190744,-0.428307,3.10937,
-0.0144017,-0.117759,2.9903,-0.116882,-0.796387,2.73828,-0.179042,-0.740396,2.85636,-0.166389,-0.423049,2.87787,-0.162436,-0.119713,2.95565,-0.0136282,-0.545046,3.13128,-0.000139641,-0.638053,3.25559,-0.000139641,-0.638053,3.25559,
-0.0294257,-0.413075,3.04689,-0.0148001,-0.116127,2.95595,-0.12689,-0.7232,2.7728,-0.184282,-0.73876,2.88049,-0.168806,-0.423341,2.85862,-0.166231,-0.119059,2.91872,-0.0475703,-0.585597,3.0528,-0.0475703,-0.585597,3.0528,
-0.0716134,-0.714812,3.11036,-0.0271486,-0.4172,3.02176,-0.0190077,-0.116154,2.92218,-0.11229,-0.725498,2.79527,-0.189874,-0.739438,2.88277,-0.168395,-0.426845,2.84343,-0.170276,-0.121554,2.89769,-0.170276,-0.121554,2.89769,
-0.00624431,-0.559645,3.0051,-0.0284141,-0.675069,3.09952,-0.0412443,-0.411634,2.93599,-0.0234724,-0.116252,2.90019,-0.129155,-0.721955,2.75979,-0.188346,-0.743621,2.8653,-0.165957,-0.429613,2.8357,-0.165957,-0.429613,2.8357,
-0.174757,-0.123518,2.86821,-0.00347633,-0.571809,2.96526,-0.0198497,-0.703512,3.0155,-0.0426395,-0.419227,2.88895,-0.028012,-0.117616,2.87816,-0.158176,-0.622543,2.77896,-0.176972,-0.746417,2.86029,-0.176972,-0.746417,2.86029,
-0.166804,-0.433242,2.82099,-0.176784,-0.12718,2.84165,0.000589749,-0.584886,2.90365,0.0225139,-0.715286,2.95841,-0.0371103,-0.428493,2.84869,-0.0315266,-0.124788,2.84613,-0.168095,-0.615654,2.79993,-0.168095,-0.615654,2.79993,
-0.148416,-0.743147,2.86905,-0.161098,-0.435858,2.80252,-0.179365,-0.129558,2.82315,0.0121497,-0.602961,2.83666,0.0106387,-0.737252,2.87868,-0.0339234,-0.433191,2.81115,-0.0343515,-0.126453,2.83184,-0.0343515,-0.126453,2.83184,
