Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.120089,-0.302422,3.66486,-0.128807,-0.0129724,3.62708,-0.0917102,0.3297,3.5668,-0.161936,0.332608,3.59753,-0.24292,-0.381836,3.66406,-0.251232,-0.307294,3.72006,-0.231172,-0.00552257,3.52791,-0.225498,0.328526,3.52971,-0.225498,0.328526,3.52971,
-0.167131,-0.372284,3.63577,-0.12188,-0.303159,3.66271,-0.115116,-0.0113993,3.61151,-0.0889709,0.3274,3.53661,-0.158802,0.331268,3.56858,-0.23999,-0.393066,3.58398,-0.232304,-0.321651,3.64193,-0.225108,-0.0151902,3.49363,-0.225108,-0.0151902,3.49363,
-0.221607,0.326541,3.50421,-0.164038,-0.386884,3.60372,-0.131654,-0.318432,3.65591,-0.112389,-0.0128996,3.60113,-0.0855111,0.32461,3.51399,-0.155108,0.328852,3.54453,-0.235562,-0.368807,3.44413,-0.241476,-0.325174,3.55793,-0.241476,-0.325174,3.55793,
-0.218895,-0.0148884,3.47298,-0.225864,0.325317,3.49925,-0.161323,-0.387722,3.60414,-0.133545,-0.319662,3.65718,-0.111142,-0.014768,3.5968,-0.0898103,0.321746,3.50702,-0.15943,0.326853,3.53862,-0.244385,-0.411621,3.40234,-0.244385,-0.411621,3.40234,
-0.239809,-0.331664,3.47002,-0.21578,-0.011429,3.4405,-0.231094,0.323442,3.4772,-0.155649,-0.392881,3.60466,-0.136445,-0.321696,3.6536,-0.109448,-0.017553,3.58174,-0.0944187,0.316728,3.48079,-0.16444,0.323418,3.51445,-0.16444,0.323418,3.51445,
-0.2412,-0.421696,3.29908,-0.236159,-0.341599,3.39774,-0.215616,-0.00660599,3.40992,-0.232134,0.316315,3.46159,-0.154556,-0.400651,3.60152,-0.140567,-0.328389,3.64954,-0.108991,-0.021039,3.56994,-0.0946358,0.30982,3.46855,-0.0946358,0.30982,3.46855,
-0.165048,0.316276,3.50053,-0.227051,-0.401148,3.22571,-0.229426,-0.32465,3.32939,-0.218656,-0.000598521,3.38093,-0.244473,0.307645,3.41884,-0.150481,-0.402133,3.59759,-0.140841,-0.329578,3.64806,-0.107024,-0.0304026,3.5505,-0.107024,-0.0304026,3.5505,
-0.105396,0.299852,3.42727,-0.176748,0.306878,3.45844,-0.225285,-0.396267,3.16026,-0.226134,-0.33038,3.27469,-0.225444,-0.0087327,3.35589,-0.244029,0.304805,3.40968,-0.150232,-0.402688,3.59719,-0.140908,-0.329861,3.64727,-0.140908,-0.329861,3.64727,
-0.105198,-0.0339749,3.54643,-0.105031,0.297756,3.42135,-0.176341,0.304413,3.45101,-0.222943,-0.398793,3.14411,-0.228013,-0.328848,3.25501,-0.226004,-0.0104879,3.34715,-0.2362,0.29589,3.3897,-0.149964,-0.402452,3.59384,-0.149964,-0.402452,3.59384,
-0.14129,-0.329384,3.64378,-0.105479,-0.0390784,3.53749,-0.0961894,0.284906,3.39876,-0.167927,0.293483,3.42967,-0.217755,-0.405134,3.1219,-0.225206,-0.33686,3.23414,-0.231889,-0.0174257,3.29028,-0.243924,0.293493,3.35346,-0.243924,0.293493,3.35346,
-0.1383,-0.373801,3.52541,-0.141811,-0.329437,3.63895,-0.106127,-0.0421952,3.50824,-0.102181,0.279388,3.36717,-0.174849,0.289417,3.39581,-0.217823,-0.418503,3.11342,-0.225197,-0.34729,3.22314,-0.232091,-0.0226294,3.27832,-0.232091,-0.0226294,3.27832,
-0.243674,0.28241,3.33101,-0.145636,-0.402303,3.58747,-0.148726,-0.326916,3.62549,-0.11049,-0.0387988,3.48415,-0.102056,0.272543,3.34234,-0.174692,0.28042,3.3722,-0.214718,-0.423992,3.1097,-0.223405,-0.350286,3.21671,-0.223405,-0.350286,3.21671,
-0.23366,-0.0277339,3.25339,-0.253486,0.27469,3.3017,-0.144755,-0.408403,3.58721,-0.153141,-0.333348,3.6188,-0.112935,-0.0452066,3.4675,-0.111756,0.266697,3.31066,-0.184594,0.273568,3.34159,-0.214521,-0.43469,3.10339,-0.214521,-0.43469,3.10339,
-0.222409,-0.355677,3.20408,-0.234504,-0.031808,3.2355,-0.247021,0.269976,3.26952,-0.141578,-0.436838,3.58046,-0.150896,-0.362768,3.62459,-0.116578,-0.0544216,3.44193,-0.106442,0.265393,3.28218,-0.178668,0.270634,3.31135,-0.178668,0.270634,3.31135,
-0.216273,-0.441493,3.10642,-0.222481,-0.355924,3.19808,-0.243271,-0.0254461,3.20897,-0.25102,0.271082,3.23805,-0.136654,-0.436399,3.58235,-0.15149,-0.362511,3.61861,-0.117878,-0.0541126,3.39192,-0.109977,0.266769,3.24217,-0.109977,0.266769,3.24217,
-0.182509,0.271872,3.27562,-0.216304,-0.440931,3.10768,-0.227192,-0.351103,3.19148,-0.24093,-0.0268422,3.2042,-0.249491,0.269807,3.19675,-0.142007,-0.403494,3.56544,-0.147837,-0.333039,3.57329,-0.147821,-0.0648111,3.3001,-0.147821,-0.0648111,3.3001,
-0.109116,0.264963,3.21931,-0.18131,0.270261,3.24408,-0.215991,-0.413294,3.06054,-0.224716,-0.370142,3.17405,-0.234475,-0.0338639,3.18521,-0.250437,0.265089,3.16267,-0.136034,-0.355799,3.42299,-0.143729,-0.311682,3.53666,-0.143729,-0.311682,3.53666,
-0.141295,-0.0668705,3.24346,-0.109491,0.260276,3.16769,-0.182036,0.265416,3.19967,-0.213873,-0.403387,3.05983,-0.227157,-0.359876,3.17271,-0.236271,-0.0325283,3.15981,-0.254219,0.263745,3.14259,-0.109169,-0.351353,3.36708,-0.109169,-0.351353,3.36708,
-0.121193,-0.306988,3.48012,-0.123738,-0.0525794,3.19465,-0.112687,0.261688,3.1556,-0.185428,0.265743,3.18493,-0.216797,-0.395793,3.05798,-0.227886,-0.35256,3.17136,-0.234922,-0.0354426,3.13952,-0.255215,0.262396,3.11103,-0.255215,0.262396,3.11103,
-0.107565,-0.337366,3.31658,-0.117363,-0.293262,3.43012,-0.117575,-0.0444469,3.13997,-0.11399,0.263907,3.12532,-0.186691,0.266177,3.1534,-0.216098,-0.399315,3.05706,-0.229143,-0.356121,3.1702,-0.235918,-0.0388613,3.11766,-0.235918,-0.0388613,3.11766,
-0.256649,0.26011,3.07854,-0.103204,-0.363802,3.26777,-0.114936,-0.320012,3.38103,-0.112725,-0.0552646,3.10454,-0.115516,0.263002,3.10387,-0.188222,0.264625,3.12699,-0.211191,-0.405726,3.0557,-0.227821,-0.362758,3.16835,-0.227821,-0.362758,3.16835,
-0.245483,-0.050836,3.10604,-0.260353,0.25905,3.05687,-0.101685,-0.393066,3.33008,-0.104797,-0.320337,3.3337,-0.112667,-0.0581306,3.05403,-0.12102,0.262861,3.07062,-0.19289,0.263927,3.09929,-0.182495,-0.435547,3.16211,-0.182495,-0.435547,3.16211,
-0.227002,-0.370282,3.16714,-0.24673,-0.058761,3.09916,-0.262517,0.25856,3.03829,-0.081604,-0.413574,3.25586,-0.105978,-0.341253,3.26497,-0.112748,-0.0641356,3.03808,-0.121555,0.26244,3.05811,-0.1942,0.263502,3.08375,-0.1942,0.263502,3.08375,
